autor bonnie jeromediemilia,"aut=jeromediemilia, bonnie%"
autor violeta figueiredo,"aut=figueiredo, violeta%"
autor rui castro,"aut=castro, rui%"
autor eduard jose,"aut=jose, eduard%"
autor j. l. macias s.,"aut=macias s., j. l.%"
autor m. c suigne,"aut=suigne, m. c%"
autor  alexandra,"aut=alexandra%"
autor luisa basto,"aut=basto, luisa%"
autor pedro barroso,"aut=barroso, pedro%"
autor frei e vicente,"aut=vicente, frei e%"
autor mario gil,"aut=gil, mario%"
autor thomas baas,"aut=baas, thomas%"
autor jeanmichel billioud,"aut=billioud, jeanmichel%"
autor xavier frehring,"aut=frehring, xavier%"
autor olivier nadel,"aut=nadel, olivier%"
autor tom leigh,"aut=leigh, tom%"
autor miguel ascensao,"aut=ascensao, miguel%"
autor nicha alvim,"aut=alvim, nicha%"
autor angela mcallister,"aut=mcallister, angela%"
autor ross collins,"aut=collins, ross%"
autor arianna candell,"aut=candell, arianna%"
autor wolf erlbruch,"aut=erlbruch, wolf%"
autor pedro campos,"aut=campos, pedro%"
autor jacqueline bovy,"aut=bovy, jacqueline%"
autor irene dekelper,"aut=dekelper, irene%"
autor emma deregnaucourt,"aut=deregnaucourt, emma%"
autor mariechristine fransolet,"aut=fransolet, mariechristine%"
autor janine gollier,"aut=gollier, janine%"
autor marion laclaverie,"aut=laclaverie, marion%"
autor francoise le gloahec,"aut=gloahec, francoise le%"
autor pierre saffre,"aut=saffre, pierre%"
autor marc van laere,"aut=laere, marc van%"
autor florbela pereira lopes,"aut=lopes, florbela pereira%"
autor miguel mouro,"aut=mouro, miguel%"
autor miquel obiols,"aut=obiols, miquel%"
autor roger olmos,"aut=olmos, roger%"
autor jose eduardo agualusa,"aut=agualusa, jose eduardo%"
autor suzy lee,"aut=lee, suzy%"
autor coby hol,"aut=hol, coby%"
autor alex gozblau,"aut=gozblau, alex%"
autor leo brown,"aut=brown, leo%"
autor natalina de azevedo,"aut=azevedo, natalina de%"
autor madalena raimundo,"aut=raimundo, madalena%"
autor julia nery,"aut=nery, julia%"
autor antonio pena,"aut=pena, antonio%"
autor judite rodrigues,"aut=rodrigues, judite%"
autor manuel lopes,"aut=lopes, manuel%"
autor franklin bastos,"aut=bastos, franklin%"
autor conceicao rodrigues,"aut=rodrigues, conceicao%"
autor pedro gomes,"aut=gomes, pedro%"
autor nuno caravela,"aut=caravela, nuno%"
autor luis matos,"aut=matos, luis%"
autor michael lawrence,"aut=lawrence, michael%"
autor ian andrew,"aut=andrew, ian%"
autor gentil marques,"aut=marques, gentil%"
autor francisco cunha,"aut=cunha, francisco%"
autor ernest hemingway,"aut=hemingway, ernest%"
autor helder moura pereira,"aut=pereira, helder moura%"
autor enrica agostinelli,"aut=agostinelli, enrica%"
autor  badaro,"aut=badaro%"
autor giuliana biassoni,"aut=biassoni, giuliana%"
autor  maraya,"aut=maraya%"
autor  disney,"aut=disney%"
autor juan soutullo,"aut=soutullo, juan%"
autor alvaro pecegueiro,"aut=pecegueiro, alvaro%"
autor vitor sobral,"aut=sobral, vitor%"
autor fausto bruni,"aut=bruni, fausto%"
autor girolamo sorrenti,"aut=sorrenti, girolamo%"
autor m. alice moura bessa,"aut=bessa, m. alice moura%"
autor jane fior,"aut=fior, jane%"
autor maria teresa amaral,"aut=amaral, maria teresa%"
autor greg becker,"aut=becker, greg%"
autor l. frank baum,"aut=baum, l. frank%"
autor kimberly morris,"aut=morris, kimberly%"
autor mauro evangelista,"aut=evangelista, mauro%"
autor j.m. barrie,"aut=barrie, j.m.%"
autor michael johnstone,"aut=johnstone, michael%"
autor stuart r robertson,"aut=robertson, stuart r%"
autor miguel ribeiro,"aut=ribeiro, miguel%"
autor teresa carvalho,"aut=carvalho, teresa%"
autor m. s. suigne,"aut=suigne, m. s.%"
autor maria brito,"aut=brito, maria%"
autor eva m lalanne,"aut=lalanne, eva m%"
autor jose luis telleria,"aut=telleria, jose luis%"
autor jose carlos teixeira,"aut=teixeira, jose carlos%"
autor jacques delaroche,"aut=delaroche, jacques%"
autor sylvie deraime,"aut=deraime, sylvie%"
autor gabriela morais,"aut=morais, gabriela%"
autor begona oro,"aut=oro, begona%"
autor joana alves,"aut=alves, joana%"
autor vanda goncalves,"aut=goncalves, vanda%"
autor concha lopez narvaez,"aut=lopez narvaez, concha%"
autor carmelo salmeron,"aut=salmeron, carmelo%"
autor rafael salmeron,"aut=salmeron, rafael%"
autor helena simas,"aut=simas, helena%"
autor van gool,"aut=gool, van%"
autor jack london,"aut=london, jack%"
autor oscar wilde,"aut=wilde, oscar%"
autor cristina robalo,"aut=robalo, cristina%"
autor ana vicente,"aut=vicente, ana%"
autor luisa dacosta,"aut=dacosta, luisa%"
autor cristina valadas,"aut=valadas, cristina%"
autor maria do carmo cunha,"aut=cunha, maria do carmo%"
autor marielouise gay,"aut=gay, marielouise%"
autor julio isidro,"aut=isidro, julio%"
autor ann meek,"aut=meek, ann%"
autor sarah massini,"aut=massini, sarah%"
autor andrea alves silva,"aut=silva, andrea alves%"
autor tiago salgueiro,"aut=salgueiro, tiago%"
autor margarida braga,"aut=braga, margarida%"
autor r. schuyler hooke,"aut=hooke, r. schuyler%"
autor art mawhinney,"aut=mawhinney, art%"
autor angela weinhold,"aut=weinhold, angela%"
autor bertrand fichou,"aut=fichou, bertrand%"
autor olivier hubert,"aut=hubert, olivier%"
autor pedro reisinho,"aut=reisinho, pedro%"
autor jose manuel goncalves,"aut=goncalves, jose manuel%"
autor kiki thorpe,"aut=thorpe, kiki%"
autor paulo f. goncalves rodrigues,"aut=rodrigues, paulo f. goncalves%"
autor francesc rovina,"aut=rovina, francesc%"
autor sarah pirson,"aut=pirson, sarah%"
autor manuela judice,"aut=judice, manuela%"
autor pedro proenca,"aut=proenca, pedro%"
autor margarida rebelo pinto,"aut=pinto, margarida rebelo%"
autor benedicte carboneill,"aut=carboneill, benedicte%"
autor elen lescoat,"aut=lescoat, elen%"
autor raquel lopes,"aut=lopes, raquel%"
autor clara capitao,"aut=capitao, clara%"
autor mauricio de sousa,"aut=sousa, mauricio de%"
autor yara maura silva,"aut=silva, yara maura%"
autor viale moutinho,"aut=moutinho, viale%"
autor fedra santos,"aut=santos, fedra%"
autor helena berenguer,"aut=berenguer, helena%"
autor daniel picouly,"aut=picouly, daniel%"
autor frederic pillot,"aut=pillot, frederic%"
autor graca margarido,"aut=margarido, graca%"
autor rita taborda duarte,"aut=duarte, rita taborda%"
autor neuza rodrigues,"aut=rodrigues, neuza%"
autor alexei tolstoi,"aut=tolstoi, alexei%"
autor niamh sharkey,"aut=sharkey, niamh%"
autor susana andrade,"aut=andrade, susana%"
autor maria de lurdes soares,"aut=soares, maria de lurdes%"
autor werner holzwarth,"aut=holzwarth, werner%"
autor tania climaco,"aut=climaco, tania%"
autor nele moost,"aut=moost, nele%"
autor annet rudolph,"aut=rudolph, annet%"
autor olalla gonzalez,"aut=gonzalez, olalla%"
autor marc taeger,"aut=taeger, marc%"
autor anke wagner,"aut=wagner, anke%"
autor heike herold,"aut=herold, heike%"
autor julia donaldson,"aut=donaldson, julia%"
autor alex scheffler,"aut=scheffler, alex%"
autor cristina belo,"aut=belo, cristina%"
autor nicholas allan,"aut=allan, nicholas%"
autor carol ann morrow,"aut=morrow, carol ann%"
autor davide cali,"aut=cali, davide%"
autor anna laura cantone,"aut=cantone, anna laura%"
autor luis silva,"aut=silva, luis%"
autor francois crozat,"aut=crozat, francois%"
autor leonor campos,"aut=campos, leonor%"
autor laura driscoll,"aut=driscoll, laura%"
autor judith holmes clarke,"aut=clarke, judith holmes%"
autor luisa castelbranco,"aut=castelbranco, luisa%"
autor ian falconer,"aut=falconer, ian%"
autor joao lopes,"aut=lopes, joao%"
autor andre giordan,"aut=giordan, andre%"
autor christian souchon,"aut=souchon, christian%"
autor rui vaz de carvalho,"aut=carvalho, rui vaz de%"
autor  genia,"aut=genia%"
autor senhor de si,"aut=si, senhor de%"
autor luis filipe cristovao,"aut=cristovao, luis filipe%"
autor amelie bouvier,"aut=bouvier, amelie%"
autor erik abranson,"aut=abranson, erik%"
autor jean paul colbus,"aut=colbus, jean paul%"
autor rui viana pereira,"aut=pereira, rui viana%"
autor dominique david,"aut=david, dominique%"
autor c. cuadra,"aut=cuadra, c.%"
autor rudi miel,"aut=miel, rudi%"
autor irene lisboa,"aut=lisboa, irene%"
autor paula morao,"aut=morao, paula%"
autor violante florencio,"aut=florencio, violante%"
autor daniel nesquens,"aut=nesquens, daniel%"
autor  sergei,"aut=sergei%"
autor elizabeth shaw,"aut=shaw, elizabeth%"
autor kazumi yumoto,"aut=yumoto, kazumi%"
autor komako sakai,"aut=sakai, komako%"
autor antonio barrento,"aut=barrento, antonio%"
autor antonio pilar,"aut=pilar, antonio%"
autor beatrix potter,"aut=potter, beatrix%"
autor andres sandoval,"aut=sandoval, andres%"
autor daniil harms,"aut=harms, daniil%"
autor goncalo viana,"aut=viana, goncalo%"
autor nina guerra,"aut=guerra, nina%"
autor rosario alcada araujo,"aut=araujo, rosario alcada%"
autor nadine bruncosme,"aut=bruncosme, nadine%"
autor olivier tallec,"aut=tallec, olivier%"
autor joana cabral,"aut=cabral, joana%"
autor barbara assis pacheco,"aut=pacheco, barbara assis%"
autor armando alves,"aut=alves, armando%"
autor ersilio cardoso,"aut=cardoso, ersilio%"
autor xulio gutierrez,"aut=gutierrez, xulio%"
autor nicolas fernandez,"aut=fernandez, nicolas%"
autor celia fernandes,"aut=fernandes, celia%"
autor ennio bufi,"aut=bufi, ennio%"
autor mirka andolfo,"aut=andolfo, mirka%"
autor alice jorge,"aut=jorge, alice%"
autor delphine chedru,"aut=chedru, delphine%"
autor manuela gomes,"aut=gomes, manuela%"
autor  nanou,"aut=nanou%"
autor raul correia,"aut=correia, raul%"
autor martine n. sousa,"aut=sousa, martine n.%"
autor manuela mota ribeiro,"aut=ribeiro, manuela mota%"
autor mafalda sa,"aut=sa, mafalda%"
autor marco soma,"aut=soma, marco%"
autor oliver jeffers,"aut=jeffers, oliver%"
autor rui lopes,"aut=lopes, rui%"
autor adolfo coelho,"aut=coelho, adolfo%"
autor eurico carrapatoso,"aut=carrapatoso, eurico%"
autor valerio vidali,"aut=vidali, valerio%"
autor sergio pelagio,"aut=pelagio, sergio%"
autor william bee,"aut=bee, william%"
autor maria joao cardona,"aut=cardona, maria joao%"
autor helena fernandes,"aut=fernandes, helena%"
autor goncalo rasteiro,"aut=rasteiro, goncalo%"
autor teresa faria,"aut=faria, teresa%"
autor sandra goncalves,"aut=goncalves, sandra%"
autor jose frias bulhosa,"aut=bulhosa, jose frias%"
autor lucio santos,"aut=santos, lucio%"
autor yara kono,"aut=kono, yara%"
autor drew daywalt,"aut=daywalt, drew%"
autor jon klassen,"aut=klassen, jon%"
autor emanuel vilaca,"aut=vilaca, emanuel%"
autor ana conceicao,"aut=conceicao, ana%"
autor ines martins,"aut=martins, ines%"
autor ana daniela soares,"aut=soares, ana daniela%"
autor ana luisa costa,"aut=costa, ana luisa%"
autor joao carlos ramos,"aut=ramos, joao carlos%"
autor boaventura de sousa santos,"aut=santos, boaventura de sousa%"
autor maria manuela cruzeiro,"aut=cruzeiro, maria manuela%"
autor hernani ermida,"aut=ermida, hernani%"
autor victor marques,"aut=marques, victor%"
autor guida venancio,"aut=venancio, guida%"
autor ester andrade,"aut=andrade, ester%"
autor joao henrique,"aut=henrique, joao%"
autor barbara bazaldua,"aut=bazaldua, barbara%"
autor almeida rita simoes,"aut=simoes, almeida rita%"
autor elisa ramon,"aut=ramon, elisa%"
autor oscar villan,"aut=villan, oscar%"
autor ruth vander zee,"aut=zee, ruth vander%"
autor tim bowley,"aut=bowley, tim%"
autor isa pita,"aut=pita, isa%"
autor paula carballeira,"aut=carballeira, paula%"
autor sonja danowski,"aut=danowski, sonja%"
autor arianna papini,"aut=papini, arianna%"
autor pia mastrangelo,"aut=mastrangelo, pia%"
autor javier sobrino,"aut=sobrino, javier%"
autor catarina sobral,"aut=sobral, catarina%"
autor  pinto,"aut=pinto%"
autor  chinto,"aut=chinto%"
autor adela turin,"aut=turin, adela%"
autor tiago cassola,"aut=cassola, tiago%"
autor manuela castro neves,"aut=neves, manuela castro%"
autor istvan banyai,"aut=banyai, istvan%"
autor serge bloch,"aut=bloch, serge%"
autor tomi ungerer,"aut=ungerer, tomi%"
autor daniela kulot,"aut=kulot, daniela%"
autor maria herminia brandao,"aut=brandao, maria herminia%"
autor michael leblond,"aut=leblond, michael%"
autor frederique bertrand,"aut=bertrand, frederique%"
autor i. bilibine,"aut=bilibine, i.%"
autor sampaio marinho,"aut=marinho, sampaio%"
autor felicity armstrong,"aut=armstrong, felicity%"
autor david rodrigues,"aut=rodrigues, david%"
autor monica vieira,"aut=vieira, monica%"
autor joana matias,"aut=matias, joana%"
autor alexei krilou,"aut=krilou, alexei%"
autor andrei platonov,"aut=platonov, andrei%"
autor vladimir znamenski,"aut=znamenski, vladimir%"
autor p. erchov,"aut=erchov, p.%"
autor  gueorgui,"aut=gueorgui%"
autor irina tiurine,"aut=tiurine, irina%"
autor grigori bogdanov,"aut=bogdanov, grigori%"
autor andrew marr,"aut=marr, andrew%"
autor sandra monteiro,"aut=monteiro, sandra%"
autor rui cardoso,"aut=cardoso, rui%"
autor richard walker,"aut=walker, richard%"
autor rachael parfitt,"aut=parfitt, rachael%"
autor debi gliori,"aut=gliori, debi%"
autor archie bennett,"aut=bennett, archie%"
autor nancy sears,"aut=sears, nancy%"
autor kate bloom,"aut=bloom, kate%"
autor emma pack,"aut=pack, emma%"
autor billy lopez,"aut=lopez, billy%"
autor sheherazade goldsmith,"aut=goldsmith, sheherazade%"
autor ligia teixeira,"aut=teixeira, ligia%"
autor melinda richards,"aut=richards, melinda%"
autor barbara maia,"aut=maia, barbara%"
autor lisa burke,"aut=burke, lisa%"
autor joao a. lopes,"aut=lopes, joao a.%"
autor maria pinto basto,"aut=basto, maria pinto%"
autor mafalda pedrosa,"aut=pedrosa, mafalda%"
autor vasco graca moura,"aut=moura, vasco graca%"
autor lurdes morais,"aut=morais, lurdes%"
autor paulo crisostomo,"aut=crisostomo, paulo%"
autor tiago pimentel,"aut=pimentel, tiago%"
autor marta jacinto,"aut=jacinto, marta%"
autor vasco gargalo,"aut=gargalo, vasco%"
autor mafalda acebey,"aut=acebey, mafalda%"
autor aurelie de sousa,"aut=sousa, aurelie de%"
autor penelope arlon,"aut=arlon, penelope%"
autor clara malheiro,"aut=malheiro, clara%"
autor maria luisa tavares,"aut=tavares, maria luisa%"
autor darren mcgee,"aut=mcgee, darren%"
autor enrique ortego,"aut=ortego, enrique%"
autor hannah wilson,"aut=wilson, hannah%"
autor catherine brereton,"aut=brereton, catherine%"
autor philip steele,"aut=steele, philip%"
autor steve stone,"aut=stone, steve%"
autor alessia garilli,"aut=garilli, alessia%"
autor miguel tanco,"aut=tanco, miguel%"
autor afonso lopes vieira,"aut=vieira, afonso lopes%"
autor alexandra p. dias,"aut=dias, alexandra p.%"
autor antonieta miranda,"aut=miranda, antonieta%"
autor maria jose meireles,"aut=meireles, maria jose%"
autor  mingote,"aut=mingote%"
autor manuel jorge marmelo,"aut=marmelo, manuel jorge%"
autor maria miguel marmelo,"aut=marmelo, maria miguel%"
autor simona traina,"aut=traina, simona%"
autor margarida castelbranco,"aut=castelbranco, margarida%"
autor christopher rice,"aut=rice, christopher%"
autor rui sousa,"aut=sousa, rui%"
autor gemeo luis,"aut=luis, gemeo%"
autor jenny press,"aut=press, jenny%"
autor maria das merces de mendonca soares,"aut=soares, maria das merces de mendonca%"
autor kenneth grahame,"aut=grahame, kenneth%"
autor eric copeland,"aut=copeland, eric%"
autor m. mejeninov,"aut=mejeninov, m.%"
autor a. barsukov,"aut=barsukov, a.%"
autor joao medina,"aut=medina, joao%"
autor s. mikhalkov,"aut=mikhalkov, s.%"
autor a. savchenco,"aut=savchenco, a.%"
autor isabel tavares de almeida,"aut=almeida, isabel tavares de%"
autor kornei tchukovski,"aut=tchukovski, kornei%"
autor v. kurtchevski,"aut=kurtchevski, v.%"
autor daniel silvestre da silva,"aut=silva, daniel silvestre da%"
autor carla teixeira pinheiro,"aut=pinheiro, carla teixeira%"
autor marta nazare,"aut=nazare, marta%"
autor luis baena,"aut=baena, luis%"
autor emily perl kingsley,"aut=kingsley, emily perl%"
autor cristina ponte,"aut=ponte, cristina%"
autor miguel ferreira,"aut=ferreira, miguel%"
autor ellen weiss,"aut=weiss, ellen%"
autor b. g. ford,"aut=ford, b. g.%"
autor maggie swanson,"aut=swanson, maggie%"
autor richard brown,"aut=brown, richard%"
autor a. delaney,"aut=delaney, a.%"
autor sarah roberts,"aut=roberts, sarah%"
autor joe mathieu,"aut=mathieu, joe%"
autor dan elliott,"aut=elliott, dan%"
autor normand chartier,"aut=chartier, normand%"
autor alison inches,"aut=inches, alison%"
autor zina saunders,"aut=saunders, zina%"
autor dean rainey,"aut=rainey, dean%"
autor alejandro dini,"aut=dini, alejandro%"
autor gabriela sebastiao simoes,"aut=simoes, gabriela sebastiao%"
autor maria joao camacho,"aut=camacho, maria joao%"
autor marife gonzalez,"aut=gonzalez, marife%"
autor ana serna vara,"aut=vara, ana serna%"
autor antoine auger,"aut=auger, antoine%"
autor dimitri casali,"aut=casali, dimitri%"
autor robert barborini,"aut=barborini, robert%"
autor henri fellner,"aut=fellner, henri%"
autor barbara pala e carmo,"aut=carmo, barbara pala e%"
autor gerald hawksley,"aut=hawksley, gerald%"
autor  peyo,"aut=peyo%"
autor  deporte,"aut=deporte%"
autor tish sommers,"aut=sommers, tish%"
autor emily thompson,"aut=thompson, emily%"
autor marianne bockhartmann,"aut=bockhartmann, marianne%"
autor felicitas kuhn,"aut=kuhn, felicitas%"
autor hieronimus fromm,"aut=fromm, hieronimus%"
autor patrice croci,"aut=croci, patrice%"
autor  genclo,"aut=genclo%"
autor pierre le goff,"aut=le goff, pierre%"
autor helen mintern,"aut=mintern, helen%"
autor maria leonor oliveira,"aut=oliveira, maria leonor%"
autor sousa carneiro,"aut=carneiro, sousa%"
autor leslie valdes,"aut=valdes, leslie%"
autor robert roper,"aut=roper, robert%"
autor daniela silva,"aut=silva, daniela%"
autor victoria kann,"aut=kann, victoria%"
autor sheila sweeny higginson,"aut=higginson, sheila sweeny%"
autor alan batson,"aut=batson, alan%"
autor lisa ann marsoli,"aut=marsoli, lisa ann%"
autor gail yerrill,"aut=yerrill, gail%"
autor hubert colson,"aut=colson, hubert%"
autor nadette charlet,"aut=charlet, nadette%"
autor tim bugbird,"aut=bugbird, tim%"
autor lara ede,"aut=ede, lara%"
autor ben lichius,"aut=lichius, ben%"
autor marcelo ferreira,"aut=ferreira, marcelo%"
autor michelle misra,"aut=misra, michelle%"
autor angela ferreira,"aut=ferreira, angela%"
autor jeanne dethise,"aut=dethise, jeanne%"
autor claire stonge,"aut=stonge, claire%"
autor pedro ferreira lopes,"aut=lopes, pedro ferreira%"
autor elisabeth golding,"aut=golding, elisabeth%"
autor lindsey sagar,"aut=sagar, lindsey%"
autor benji davies,"aut=davies, benji%"
autor maria joao lopo de carvalho,"aut=carvalho, maria joao lopo de%"
